40.0588744 -106.3889199	Kremmling,CO
39.234781 -84.3068826	Miami Grove,OH
32.0687583 -88.3353034	West Butler,AL
36.6200583 -90.7837318	Owenmont,MO
34.2812165 -88.8953365	Longview,MS
36.1567571 -83.4090611	Westgate,TN
40.0159262 -77.1727593	Gargol,PA
40.1492596 -76.7885812	Valley Green Estates,PA
43.3086919 -71.1906207	Leighton Corners,NH
44.6319099 -96.9517306	Dempster,SD
45.4169018 -92.0329578	Almena,WI
42.634721 -90.36985	Jenkinsville,WI
43.6836796 -76.0054762	North Boylston,NY
34.5567558 -96.8602908	Hickory,OK
46.5285745 -94.6550114	Leader,MN
41.172722 -111.9766083	Washington Terrace,UT
32.9326279 -90.7625976	Ratliff Landing,MS
39.0511111 -84.4872222	Johns Hill,KY
44.9352407 -93.6321817	Spring Park,MN
40.8703419 -79.6328254	Laird Crossing,PA
41.1523202 -72.251191	Orient Point,NY
34.930088 -88.4522686	Farmington,MS
40.1439074 -93.1927095	Reger,MO
34.0452883 -117.9436749	Valinda,CA
38.5314362 -87.5194661	Cantaloupe,IN
37.3278808 -82.688212	Weeksbury,KY
40.5489358 -84.5702338	Celina,OH
44.000526 -96.3175341	Pipestone,MN
40.8883931 -80.6939643	Columbiana,OH
38.9223337 -76.9563637	Fort Lincoln New Town,DC
33.8732252 -79.070593	Cochran Town,SC
42.2667662 -70.9578251	Houghs Neck,MA
38.4061933 -82.5390462	Brookdale,OH
40.559671 -111.7938208	Seven Springs,UT
38.558732 -76.7816338	Woodridge Acres,MD
18.1271826 -66.591006	Hacienda Santa Rita,PR
30.3599219 -88.5166809	East Side,MS
37.2964339 -87.5077771	Dozier Heights,KY
39.401496 -76.492186	Hines Estates,MD
47.3876023 -121.8612222	Barneston,WA
45.6630132 -89.2217914	Starks,WI
33.6428192 -111.9287567	Windsong,AZ
39.5714719 -80.034236	Flaggy Meadow,WV
40.7800982 -75.0996191	Roxburg,NJ
40.607557 -83.3421429	DeCliff,OH
33.7187815 -79.0628155	Bucksville,SC
38.1751306 -77.2669239	Rapppahannock Corner,VA
35.1726433 -80.9031285	Elliot Acres,NC
33.6353158 -112.345161	Lizard,AZ
40.7409237 -75.9740941	Reynolds,PA
42.8989556 -76.0160326	Pompey,NY
36.9662513 -79.870311	Henry Fork,VA
36.7728907 -81.8362343	Emory,VA
39.1056656 -76.4496825	Milburn on the Magothy,MD
41.1596659 -111.9177181	Bonneville Terrace Number Two,UT
40.9631538 -74.627105	Prospect Point,NJ
30.2613062 -91.2184404	Allemania,LA
44.7827399 -93.913579	Young America,MN
35.1745388 -94.2782672	Big Rock,AR
37.8515304 -78.2638928	Rockaway,VA
47.1518701 -114.8331848	Riverbend,MT
37.6342154 -95.3560911	Rollin,KS
38.8962231 -76.9066399	Seat Pleasant,MD
41.3762377 -123.4761693	Somes Bar,CA
39.8433769 -86.3977736	Brownsburg,IN
45.9232598 -112.4108467	Homestake,MT
44.22702 -69.3883774	Globe,ME
47.7303758 -122.2981824	Kenwood,WA
44.6807528 -113.039743	Hildreth,MT
45.219966 -89.1445579	Neva Corners,WI
34.0663976 -118.4731361	Westgate Heights,CA
29.8577063 -89.9625687	Port Nickel,LA
40.9487097 -73.7326309	Mamaroneck,NY
39.1867734 -76.9824768	Green Hill Manor,MD
35.0836844 -85.3182919	Valdeau,TN
45.0056327 -67.2747113	Blanchard Corner,ME
40.0247967 -79.8536565	Braznell,PA
36.6401154 -81.8109535	Vails Mill,VA
44.2694612 -83.5146973	Tawas City,MI
39.8428415 -82.8046182	Canal Winchester,OH
40.0978883 -74.9193334	Bridgewater,PA
46.4143666 -114.121211	Victor Crossing,MT
37.7975 -122.1883333	Redwood Heights,CA
39.2637168 -76.9221983	Donghoregan,MD
48.0220426 -122.0554092	Hartford,WA
33.4948357 -84.6296535	Palmetto Pines,GA
40.2450902 -76.7738599	Willow Farms Mobile Home Park,PA
34.0320422 -97.5355786	Orr,OK
18.3918926 -66.030999	Villa Capri,PR
18.0727398 -66.3610029	Vista de Sol,PR
30.9455096 -81.7409402	Plantation Point,GA
35.4979106 -81.4286984	Dora,NC
26.2403505 -98.1033409	El Charro Number 2 Colonia,TX
40.9250625 -80.2742291	Castlewood,PA
40.6972343 -99.1434235	Sheens Trailer Court,NE
39.0539979 -77.0685891	Connecticut Avenue Estates,MD
38.5836996 -81.8573557	Hugo,WV
40.4395521 -74.1190306	North Middletown,NJ
30.9077344 -81.5175976	Shellbine,GA
39.8451 -75.5264	North Chase,PA
31.1752304 -81.4620442	Riverside,GA
37.1809324 -82.8637712	Tillie,KY
39.6837151 -76.6669155	Beetree,MD
32.6718022 -90.6706533	Harworth,MS
39.6125986 -77.4052643	Gateway,MD
34.0039 -84.2993	Holcomb Bridge Post Office,GA
39.6331712 -74.966002	Victory Lakes,NJ
39.5334455 -75.7824354	Bethel,MD
43.7166527 -103.4824157	Blue Bell,SD
36.0693023 -79.5044669	Westview Terrace,NC
39.3153474 -82.4662671	Creola,OH
34.9598686 -80.9900778	Hutchinson Acres,SC
39.5517129 -91.160974	Mundy Landing,MO
29.7179856 -91.3309398	Avalon,LA
38.0394993 -86.8416579	Evanston,IN
34.4765512 -79.4031024	Little Rock,SC
38.6759498 -77.2897059	The Heights,VA
45.2309536 -122.7559267	Aurora,OR
32.154875 -85.0943768	McLendon,AL
33.6439953 -87.0624976	Riverside Estates,AL
35.7726514 -78.8011173	Savon Height,NC
41.5556553 -71.6967333	Arcadia,RI
36.2503381 -85.4535847	Bangham Village,TN
37.4814957 -82.1831912	Coleman,KY
39.8443 -75.5336	Concord Crossing,PA
38.3694429 -106.0394601	Alder,CO
37.6873655 -77.3163678	Buckeye,VA
40.023875 -105.3805493	Mountain Meadows,CO
30.460754 -86.5885635	Longwood,FL
30.3179717 -90.974823	Oak Grove,LA
33.5531676 -84.4565938	Otranto Hills,GA
45.6980101 -89.5101368	Newbold,WI
33.4689984 -96.6452684	Farmington,TX
39.6381691 -75.4126943	Halltown,NJ
39.6956645 -76.0813384	Harrisville,MD
39.5356291 -81.521791	Upper Lowell,OH
34.3221133 -78.5002866	Wananish,NC
43.8991322 -91.0812465	West Salem,WI
41.8297778 -80.2389489	Crossingville,PA
37.3412463 -79.9430952	Hollins,VA
45.6540071 -121.5136847	Pine Grove,OR
34.268982 -85.2402306	Cherokee Acres,GA
34.6700993 -82.9768156	Thriftwood,SC
40.3606653 -74.0381947	Fair Haven,NJ
32.0945907 -88.2264099	Green Acres,AL
39.7222183 -94.641625	Easton,MO
41.8606459 -74.6732145	Aden,NY
38.5127752 -106.0772384	Poncha Springs,CO
42.5014758 -72.6412006	Mill River,MA
37.9881947 -78.8241882	Onan,VA
41.6638773 -93.7738346	Park View Village Mobile Home Park,IA
33.6079034 -83.3771073	Sugar Creek,GA
32.5528494 -109.3358978	Whitlock Cienega,AZ
41.1316103 -112.071332	Lori Ann Estates,UT
43.2186723 -77.757785	West Greece,NY
41.8553525 -76.490776	Sheshequin,PA
38.3321373 -122.760267	Woodworth,CA
40.7082796 -111.99105	Turley,UT
40.9627642 -103.1124241	Peetz,CO
35.7568057 -80.4600575	Clinton,NC
39.1612188 -76.8135837	Mission Heights,MD
40.6982789 -112.0885528	Oquirlane,UT
32.9047709 -112.9854509	Piedra,AZ
38.6951809 -121.0852227	Crown Village,CA
32.9712465 -93.9949029	Rodessa,LA
34.4531528 -88.0614285	Halltown,AL
38.6996343 -123.4136198	Valley Crossing,CA
18.432724 -66.0159988	Villas de Lago Mar,PR
32.4815277 -95.9296898	Jackson,TX
33.6851141 -93.3468373	Laneburg,AR
40.8692625 -75.2118457	Uttsville,PA
35.6149624 -119.8679123	Blackwells Corner,CA
41.817827 -83.9799436	Ogden,MI
30.9821261 -85.618544	Noma,FL
37.5230727 -101.884896	Manter,KS
33.4284495 -92.314312	Jersey,AR
45.5460749 -90.2865388	Prentice,WI
39.5153841 -76.5471894	Millgate,MD
40.688371 -89.5112055	Robein,IL
38.0070843 -78.379731	Glenmore,VA
39.0309408 -78.0433308	Bethel,VA
41.5972728 -83.5652115	Frances Gardens,OH
37.0950513 -92.9704537	Zenar,MO
36.9835612 -121.9805165	Live Oak,CA
44.4603944 -121.641165	Camp Sherman,OR
38.9005672 -93.6949387	Mount Olive,MO
38.6361197 -96.6752855	Wilsey,KS
35.4531429 -83.8398989	Fairfax,NC
30.0113267 -94.6626969	Cow Island,TX
40.1895124 -81.1984393	East Piedmont,OH
34.1950961 -84.3813144	Union Hill,GA
37.7012546 -77.3977593	Hanover Hills,VA
34.8503946 -82.5520734	Briargate,SC
34.0335044 -78.7475187	Dothan,NC
41.5169936 -85.8172148	Bainter Town,IN
36.0793041 -80.3067181	Burke Park,NC
42.9092277 -78.0200105	Pavilion Center,NY
29.5638263 -90.6461996	Presquille,LA
39.0422924 -83.0268445	Van Meter,OH
39.1908851 -85.546082	Mapleton Corner,IN
35.8961917 -84.0704668	Ebenezer,TN
43.4874606 -95.0544386	Sand Bar Beach Resort and Trailer Court,IA
39.1513917 -97.8892088	Ada,KS
37.9982953 -113.9696946	Hamlin Valley,UT
36.2042221 -86.7866654	Brooklyn Heights,TN
39.5242734 -76.4552415	Bellvale,MD
47.2577003 -91.3004437	Beaver Bay,MN
43.7934043 -71.804803	Rumney Depot,NH
42.0192582 -73.8212424	Cokertown,NY
38.1689416 -86.9899966	Dale,IN
34.1897669 -109.4037021	Green Spot,AZ
34.0916774 -117.5475515	Rochester,CA
39.9562238 -75.257405	Stonehurst,PA
21.3547222 -157.9275	Āliamanu,HI
34.0709355 -93.3821225	Clear Spring,AR
29.1413578 -95.6157797	East Columbia,TX
36.4911998 -83.2232302	Duck Creek,TN
39.5461584 -86.3333254	Fields,IN
38.1822486 -93.5732634	Fox Run,MO
37.3395937 -77.4483175	Lora Lynn Heights,VA
36.0228392 -86.8925014	Sneed Forest Estates,TN
44.2478344 -72.9620638	Hanksville,VT
38.8583232 -105.1616509	Midland,CO
41.2603717 -74.0165302	Bulsontown,NY
31.3248925 -85.8821614	Fairfield Estates,AL
41.8350316 -87.8228358	Riverside,IL
30.2029889 -94.3504668	Pine Ridge,TX
36.167593 -83.2923906	Sulphur Springs,TN
38.0969556 -98.0089429	Yaggy,KS
38.0195522 -81.4062212	Carbon,WV
30.0593684 -90.6014771	Marathon,LA
38.592406 -120.954663	Shrub,CA
33.6172 -84.4679	Old National Post Office,GA
39.1971162 -121.1780097	Casey Corner,CA
35.8911848 -84.6207712	College Grove,TN
36.1903706 -83.2921135	Southern Heights,TN
43.4053519 -72.1278644	Ryder Corner,NH
18.4341136 -66.3098913	Los Puertos,PR
40.2862226 -73.9984708	West End,NJ
44.7092404 -68.3383535	Waltham,ME
31.0602282 -81.936225	Big Oak,GA
38.6567844 -76.8663598	Country Club South,MD
41.0797117 -94.9847073	Morton Mills,IA
39.8428203 -87.1114004	Guion,IN
41.0434304 -73.7973552	Fairview,NY
38.7145605 -76.844693	Cheltenham Acres,MD
31.394617 -89.6461836	Hickory Grove,MS
35.8006226 -86.3230481	Dillton,TN
44.1409014 -71.18785	Ducks Head,NH
43.3406309 -72.0709183	Mount Sunapee,NH
33.277089 -81.8945597	Walkinshaw,GA
47.8564075 -104.0449328	Fairview,MT
40.5287066 -75.6696345	Farmington,PA
38.8473375 -76.4938459	Felicity Cove,MD
41.4814848 -73.2131693	Southbury,CT
38.212607 -81.1428842	Agnew,WV
38.7446254 -120.6568739	Cedar Grove,CA
26.9450606 -82.0023098	Tee and Green Estates,FL
42.8153386 -78.1244559	Millers Corner,NY
39.5577002 -117.4326018	Petersons Mill,NV
40.6805026 -111.8804908	Creek View Condominium,UT
40.886389 -96.2544559	Wabash,NE
41.7670065 -78.7183622	Tallyho,PA
47.2042681 -121.9915003	Enumclaw,WA
43.8811814 -71.5978552	Goose Hollow,NH
37.7992131 -88.2611509	Ridgway,IL
37.0694663 -105.0561126	Torres,CO
38.096436 -91.1315291	Vilander,MO
39.7137128 -76.914979	Allana Acres,MD
37.8292723 -81.861231	Yolyn,WV
41.2712706 -121.8941646	Kinyon,CA
35.1626442 -80.8475718	Selwyn Park,NC
37.3393014 -79.978929	The Woodlands,VA
38.6862299 -76.534678	Chesapeake Beach,MD
35.3886834 -84.8013328	Hillsview,TN
45.5502545 -98.6137089	Bieglers First Addition,SD
46.8269852 -68.4858767	Buffalo,ME
35.6561884 -92.3193224	Shirley,AR
41.1379995 -112.0341092	Heather Heights,UT
37.4234175 -84.3021571	Wildie,KY
33.0068378 -80.1553696	Lincolnville,SC
36.315875 -97.2455981	McMahon,OK
42.4092038 -82.8918587	Grosse Pointe Farms,MI
40.5791151 -111.8410445	Ski Haven Estates,UT
39.3999835 -107.1519944	Mulford,CO
35.7078451 -86.6458291	Greenwood,TN
30.7104821 -83.3201507	Old Clyattville,GA
39.9930556 -86.0172222	Weaver Woods,IN
33.4359502 -90.8206531	Dunleith,MS
43.8190836 -111.162723	Tetonia,ID
29.1271993 -82.212872	Saddle Oak Club,FL
34.2728842 -88.739498	Bristow Acres,MS
34.2639883 -87.495577	Rabbittown,AL
32.5243111 -92.1862474	Rockthrow,LA
41.4445175 -77.1913626	Beech Grove,PA
40.2808679 -88.6772901	Watkins,IL
34.9545022 -102.1054741	Umbarger,TX
44.2764357 -76.0080027	Fishers Landing,NY
39.0958307 -96.9402895	Alida,KS
43.2233604 -85.5514237	Cedar Springs,MI
42.3875644 -78.3761285	Farmersville,NY
39.8912113 -76.6371897	Southwood Hills,PA
44.4499614 -91.1451559	York,WI
48.4847089 -97.2986861	Cashel,ND
36.4553046 -102.6296348	Coldwater,TX
38.139578 -78.8805801	Madrid,VA
36.8083894 -88.4178181	Harvey,KY
38.9501106 -77.648326	Stewartown,VA
37.2165215 -80.2325427	Elliston,VA
38.6306737 -76.9502511	McDaniel Country Estates,MD
41.0559041 -77.311363	Rosecrans,PA
40.16979 -82.2432024	Tilton Crossroads,OH
33.4170133 -107.5508705	Jewkes Place,NM
40.5818927 -111.8402111	Sunrise Meadows,UT
35.114837 -82.2251131	Gowensville,SC
40.1623 -75.4534	Arrowhead Knoll,PA
41.9392373 -77.4833174	Phillips,PA
18.3477285 -66.2737797	H. Rivera Colon,PR
38.6984513 -76.6041264	Mount Harmony,MD
40.9358673 -87.606699	Hooper,IL
31.8615543 -95.9710757	Yard,TX
39.83 -105.1247222	Lamplighter,CO
42.4997581 -85.4080641	Delton,MI
36.4195491 -82.3040262	Piney Flats,TN
38.3965125 -76.4574517	Mosley Acres,MD
31.8479266 -98.9258854	Owens,TX
42.2253526 -76.845513	Pine Valley,NY
34.8814874 -95.4769228	Gowen,OK
39.2681557 -79.8206262	Sinclair,WV
41.4664006 -98.7031344	Scotia,NE
36.4694933 -86.1180423	Horsleys,TN
32.5876456 -83.6404612	Russell Glen,GA
40.6580026 -111.9549373	Bennion Cove,UT
32.4757384 -81.4081626	Shawnee,GA
29.8393953 -96.7052536	Ellinger,TX
44.3130336 -89.1531703	Rural,WI
39.2200102 -98.6481277	Cheyenne Gap,KS
35.2815241 -81.3006372	Vantine,NC
32.8819899 -113.6465878	Kofa,AZ
28.5674952 -82.1561964	Rerdell,FL
37.4166667 -122.1897222	Stanford Weekend Acres,CA
36.2856645 -82.2323553	Gap Creek,TN
36.9234214 -83.4451868	Spruce Pine,KY
33.7628599 -100.8168001	Afton,TX
47.451584 -91.5621075	Whyte,MN
39.9747325 -93.8010538	Jamesport,MO
38.8851128 -78.2175007	Sans Facon,VA
35.8972866 -86.5661053	Emmitt Heights,TN
39.8670569 -75.3404671	Leiperville,PA
36.7301493 -77.509147	Moonlight,VA
37.0912577 -76.5130067	Maxwell Garden,VA
39.7362235 -75.6454843	Dunlinden Acres,DE
39.1953842 -77.2438722	Neelsville,MD
42.9431195 -77.2219244	Littleville,NY
39.6115073 -74.3554233	Nugentown,NJ
39.1647255 -94.6977367	Nearman,KS
37.998689 -84.5024384	Lansdowne,KY
40.595601 -85.2594161	Keystone,IN
39.5861886 -80.8609354	Watkins,WV
38.9800811 -81.5845697	Wiseburg,WV
37.4536594 -90.7948435	Lake Springs,MO
39.9103636 -78.249456	Emmaville,PA
33.1665098 -87.8850167	Pioneer,AL
46.9202452 -96.9036947	Pinkham,ND
42.7158497 -88.3059258	Honey Lake,WI
33.5653179 -112.2521004	Westgreen Estates,AZ
36.5295971 -76.8696817	Dort,NC
44.5353557 -67.8808344	Milbridge,ME
35.2600865 -91.2609595	Cavell,AR
43.236906 -94.0413443	Titonka,IA
35.7664652 -92.2098758	Turkey Creek,AR
41.5750766 -75.9354764	Brookside,PA
35.8384159 -83.9668497	Mimosa Heights,TN
48.4751033 -122.660173	Alexander Beach,WA
39.2387164 -77.2794288	Clarksburg,MD
41.3967634 -73.0759416	Seymour,CT
41.7028528 -76.5543906	Franklindale,PA
39.5439932 -76.7980318	Pleasant Grove,MD
38.0458862 -86.9430499	Liberal,IN
38.6153256 -87.3544609	Monroe City,IN
38.6764031 -93.6185464	Burtville,MO
64.4711111 -150.3258333	Toklat,AK
46.1480618 -103.1429501	Scranton,ND
41.8448104 -75.0071097	Obernburg,NY
29.9979799 -90.8534281	Caire,LA
39.3955919 -87.6722489	Fox Run,IL
41.8173208 -72.5334204	Flax Hill Elderly Housing,CT
35.9134777 -79.0302884	Greenwood,NC
42.722257 -84.4274744	Okemos,MI
31.6454413 -89.2478373	Mount Zion,MS
35.1014612 -85.2724577	Rivermont,TN
32.7961863 -108.1503221	Fort Bayard,NM
35.6228504 -86.145824	Lewis Store,TN
43.362733 -93.4538203	Joice,IA
38.9839987 -77.403876	Oak Grove,VA
33.5723265 -86.2249759	Dunrowin,AL
33.4612191 -86.9474928	Rutledge Springs,AL
41.3592194 -82.892134	York,OH
33.660664 -84.3193681	Cherokee Forest,GA
38.807058 -76.9421962	Waggaman Heights,MD
33.2492953 -93.0509979	Village Junction,AR
34.7942945 -81.9139897	Walnut Grove,SC
33.3170352 -101.7240454	Wilson,TX
35.7922982 -91.2234612	Kenyon,AR
39.2773285 -76.7816398	Chalfone Manor,MD
41.7702829 -99.3787184	Taylor,NE
32.2457541 -81.229003	Exley,GA
39.8095063 -83.1710229	Harrisburg,OH
39.4912137 -76.9355354	Home Farm,MD
37.3222991 -84.7316127	Walltown,KY
40.6386193 -100.9104302	Marengo,NE
41.06756 -80.3092306	Sunset Valley,PA
33.9598244 -84.8146614	Westward Ho,GA
35.3640054 -82.4753976	Grimesdale,NC
40.8666122 -111.8499365	Ridgewood of Maple Hills Condominiums,UT
29.6632669 -90.8198152	McBride,LA
41.6414391 -83.6077129	Freemans Gardens,OH
35.2831355 -86.3741588	Lynchburg,TN
32.2315486 -94.3368635	Walnut Grove,TX
36.3427279 -119.1542748	Lort,CA
41.1022578 -90.801529	Seaton,IL
38.3420194 -84.3077123	Lair,KY
18.0777392 -66.9604549	Sabana Grande,PR
40.5525995 -75.3587906	Spring Valley,PA
35.3983589 -108.6670261	Bread Springs,NM
45.449964 -91.3015447	Apollonia,WI
36.0436363 -105.8116848	Truchas,NM
34.7670345 -88.0683721	Margerum,AL
26.1784079 -98.1091744	Ignacio Perez Colonia,TX
40.7475076 -93.1471516	Promise City,IA
26.1842414 -97.9041663	Olympic Colonia,TX
18.4180026 -66.0604436	El Vedado,PR
35.6809727 -80.4753371	Forest Hills,NC
31.0001819 -87.4805366	Briar Lake Estates,AL
32.2199137 -81.8037244	Anderson Mill,GA
35.5680269 -121.0996367	West Village,CA
36.7348074 -83.671028	East Pineville,KY
18.4474462 -66.238779	La Monserrate,PR
35.1978627 -89.0875641	Middleburg,TN
41.7614896 -71.417834	Silver Hook,RI
34.8262075 -90.6592745	Soudan,AR
41.1195307 -75.5257425	Wagners,PA
40.0630415 -105.4041612	Gold Hill,CO
39.8436111 -105.1155556	Bridle Dale,CO
35.0478571 -85.6719138	Kimball,TN
30.3115853 -85.2954746	Broad Branch,FL
40.2556258 -79.7892119	Scott Haven,PA
29.3674511 -100.9437068	Cienegas Terrace,TX
33.7023894 -79.3756092	Barnhill,SC
37.9299245 -121.2527228	Kennedy,CA
40.3509396 -74.9918351	Deer Park,PA
34.5328647 -84.8163276	Redbud,GA
30.2751945 -89.7811745	Slidell,LA
35.9109182 -83.8276789	Crossfield,TN
38.596787 -76.635516	Cox,MD
42.6552799 -97.9736802	Sparta,NE
39.9234082 -79.4772596	Stewarton,PA
19.6155556 -155.9780556	Alii Kai,HI
40.1989921 -75.4762927	Trappe,PA
36.3212662 -76.948847	Brantleys Grove,NC
41.9872904 -77.7616602	North Bingham,PA
45.3656761 -122.6123141	West Linn,OR
40.3356483 -75.9268747	Reading,PA
40.7811757 -78.852531	Arcadia,PA
46.8882566 -114.070667	Countryside Court Mobile Home Park,MT
35.976174 -87.5889075	Poplar Grove,TN
39.1659099 -81.8973589	Meigs,OH
45.1490106 -122.6512006	Rural Dell,OR
38.8533773 -91.3059895	Jonesburg,MO
35.147944 -78.3891695	Red Hill,NC
26.2772928 -98.5552996	Saint Claire Fisher Colonia,TX
38.6420589 -75.5552027	Concord,DE
35.6652315 -117.8731248	Indian Wells,CA
38.3348205 -81.5965112	Riverview,WV
31.9154282 -86.6052523	Searcy,AL
18.2174555 -66.8829544	Hacienda Ballester,PR
40.3666666 -96.19612	Tecumseh,NE
40.6877243 -112.0027167	Huntington Place,UT
39.7509382 -76.2257884	Peach Bottom,PA
39.4620525 -76.3052357	Woodsdale,MD
34.3995183 -99.7381497	Carnes,TX
47.2089734 -124.2032347	Pacific Beach,WA
35.5595194 -85.9924866	Summitville,TN
39.696778 -75.7968816	Hillcrest,MD
39.5124957 -95.0180209	Sugar Lake,MO
51.5672222 -178.8775	Amchitka,AK
18.3388401 -65.825719	El Verde,PR
32.3987535 -95.8905223	Denman Crossroads,TX
30.7165803 -84.823809	Jinks,GA
33.1258733 -117.0614203	Escondido Terrace Mobile Home Park,CA
28.870544 -81.7895228	Lisbon,FL
38.3773478 -76.9533055	Newburg,MD
39.7098335 -75.7829922	Wedge Hills,DE
28.3936186 -81.5386842	Lake Buena Vista,FL
38.2967958 -78.6219618	Simmons Gap,VA
42.4116352 -105.3608182	Esterbrook,WY
44.1109074 -70.0903305	Drinkwater Corner,ME
38.370107 -80.8220429	Hookersville,WV
40.467826 -84.1805022	Botkins,OH
34.5689683 -97.8367008	Hope,OK
42.8319347 -90.839849	Flora Fountain,WI
33.8840063 -83.410993	Woodridge North,GA
36.9269985 -89.0600668	Winford,KY
37.3683333 -76.7891667	Oakland,VA
46.1957622 -111.6319188	Radersburg,MT
38.8806557 -80.3075835	Hoover Town,WV
42.0347684 -85.6355518	Pine Ridge,MI
41.3764831 -73.6345728	Deans Corner,NY
39.9514295 -85.8147012	Alfont,IN
44.2864502 -74.6632351	Childwold,NY
42.4853984 -123.1681094	Starvation Heights,OR
38.3681797 -76.4763414	Preston Point,MD
26.2814593 -98.5672442	Colonia Rafael,TX
30.7140825 -97.3302759	Friendship,TX
40.6410588 -111.8302112	Linden Circle,UT
31.1979603 -84.3399084	Greenwood,GA
35.6409124 -92.8793357	Nogo,AR
34.0262111 -95.781916	Unger,OK
42.0319881 -83.7529949	Cone,MI
41.253 -111.9804971	Lomond View Addition,UT
40.1667662 -75.6654739	Pughtown,PA
39.5220525 -76.256623	Hemlock Ridge,MD
39.3847973 -81.2315025	Vaucluse,WV
32.8648605 -83.6065673	Highland Hills,GA
55.6263889 -132.5536111	Salt Chuck,AK
44.5874833 -104.9377537	Oshoto,WY
40.8772799 -78.2505699	New Liberty,PA
38.2167165 -91.0212506	Monday,MO
33.2415065 -87.5277835	Riverchase,AL
34.4851043 -90.5264916	Powell,MS
45.4931737 -122.7103744	Bridlemile,OR
35.7659905 -77.9210952	Deerfield,NC
31.6001664 -85.5610504	Dykes Crossroad,AL
38.249297 -78.5830716	Cedarmere,VA
31.0896313 -92.7115348	Calcasieu,LA
38.9353887 -78.2122228	Royal Village,VA
37.3975 -122.0791667	Jackson Park,CA
38.7431078 -90.6109566	Howell,MO
40.7580949 -87.0416838	Wolcott,IN
42.9167571 -70.8217192	Eastman Point,NH
38.7104593 -120.7188208	Old Fort Jim,CA
41.675328 -85.7061011	Middlebury,IN
32.7876415 -94.0310157	Trees,LA
40.9881145 -80.7122988	New Buffalo,OH
41.7980593 -92.0707365	Marengo,IA
33.0959546 -97.0966777	Copper Canyon,TX
35.1764593 -85.2132903	Sterling Park,TN
29.7191337 -81.8162016	Baywood,FL
40.12011 -75.1846203	East Oreland,PA
30.376034 -84.3007329	Lakeside,FL
27.9472404 -98.0313908	Agua Dulce Ranch Number 2 Colonia,TX
36.6537517 -78.5369443	Jeffress,VA
34.9939765 -92.6209955	Fourche,AR
31.1337986 -92.1901279	Egg Bend,LA
46.8098844 -117.4904665	Wilcox,WA
35.7745136 -85.983044	Leoni,TN
36.0920807 -79.9539263	Friendship,NC
43.8124817 -88.9481684	Reich Mobile Home Park,WI
35.7678546 -91.6162493	Wolford Addition,AR
44.1442347 -71.1809056	Jackson,NH
34.7348192 -91.1045658	Monroe,AR
32.9351278 -90.778987	Hickman Landing,MS
37.1795467 -82.7137684	Neon Junction,KY
40.9586707 -80.642296	Five Points,OH
39.4414872 -78.1322246	Shanghai,WV
32.7703832 -101.4454111	Gail,TX
38.8726119 -77.1952588	Tyler Park,VA
36.1067295 -85.4438632	Dry Valley,TN
40.6655027 -111.9116027	River Meadow,UT
35.2165066 -82.4862315	Mountain Valley,NC
31.2068421 -97.3027824	Troy,TX
41.0997787 -81.3703869	Brimfield Station,OH
37.2903337 -85.7671909	Canmer,KY
39.0600072 -98.2445	Goldenrod,KS
40.9908417 -92.8204738	Hocking,IA
30.7210307 -83.7268282	Grooverville,GA
42.4556475 -71.6731246	Lancaster,MA
37.1209594 -80.5622801	Willow Woods,VA
38.6100099 -95.684429	Lyndon,KS
29.0655404 -80.9469987	Isleboro,FL
43.035898 -76.809401	Lockpit,NY
31.5354529 -84.1304625	Garden Hill,GA
40.7564288 -86.3936115	Dunkirk,IN
38.3708881 -90.5004008	Otto,MO
40.3059999 -121.0057931	Westwood,CA
38.3457447 -121.6396786	Green,CA
38.8690762 -123.6533484	Gallaway,CA
34.2267578 -98.11004	Hastings,OK
40.4075408 -89.6428829	Green Valley,IL
29.9351964 -101.8204006	Lozier,TX
18.310511 -64.7065249	Concordia,VI
32.7217975 -85.5077283	Gold Hill,AL
46.3040885 -114.0481496	Ponderosa Mobile Home Park,MT
41.6652507 -103.0990976	Lakeview Mobile Park,NE
34.1787747 -79.17393	Pitch Landing,SC
39.3925964 -78.8558551	Headsville,WV
36.5470831 -79.4725247	Whitfield,VA
37.9242926 -79.8886653	Carloover,VA
40.0375737 -79.9306045	Malden Place,PA
40.4998111 -76.527741	Murray,PA
34.1076071 -90.8459383	Dixie,MS
40.4819839 -89.8353885	Radville,IL
40.0631515 -76.703856	Mount Wolf,PA
36.7811111 -76.1841667	Charlestowne,VA
33.7405735 -117.8408887	Saddleback Mobile Lodge,CA
40.7799459 -111.8924366	Capitol Heights Condominium,UT
44.0833218 -88.3245511	Saint Catherines Bay,WI
35.055708 -80.1822831	Sugar Town,NC
38.782505 -95.6863722	Four Corners,KS
38.2281219 -86.2244187	White Cloud,IN
31.3714901 -110.0367427	Stark,AZ
38.1541748 -102.7196403	Wiley,CO
39.414803 -80.8056604	Akron,WV
45.0511571 -71.3914688	Pittsburg,NH
41.2493888 -111.9691079	Taylors Addition,UT
40.2964253 -86.5119462	Wesley Manor,IN
41.918153 -72.6925925	Rainbow,CT
32.8195815 -92.3531971	Canbeal,LA
40.2692379 -79.2955896	Longbridge,PA
38.6584476 -75.5671476	Meadow Acres,DE
37.0520057 -94.4785572	Gateway Drive,MO
33.5189945 -86.2408095	Davis Acres,AL
36.2484281 -95.2663554	Sportsman Acres,OK
